,0
0,1
1,0
2,3
3,5
4,5
5,1
6,1
7,6
8,0
9,1
10,2
11,1
12,1
13,5
14,7
15,1
16,1
17,1
18,1
19,7
20,6
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,5
33,1
34,7
35,1
36,1
37,7
38,7
39,1
40,1
41,2
42,5
43,7
44,5
45,1
46,2
47,1
48,5
49,7
50,2
51,1
52,2
53,7
54,1
55,1
56,6
57,1
58,0
59,1
60,1
61,2
62,5
63,1
64,7
65,5
66,6
67,1
68,2
69,1
70,3
71,1
72,1
73,0
74,2
75,5
76,0
77,1
78,5
79,7
80,1
81,0
82,2
83,3
84,6
85,1
86,1
87,1
88,1
89,5
90,0
91,0
92,7
93,5
94,1
95,1
96,1
97,5
98,1
99,1
100,6
101,0
102,2
103,1
104,1
105,1
106,1
107,1
108,6
109,0
110,5
111,0
112,5
113,1
114,5
115,1
116,1
117,6
118,5
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,1
127,1
128,1
129,5
130,5
131,1
132,2
133,0
134,7
135,1
136,1
137,7
138,5
139,1
140,1
141,0
142,2
143,1
144,6
145,6
146,1
147,7
148,7
149,7
150,0
151,1
152,1
153,1
154,5
155,1
156,1
157,1
158,5
159,6
160,0
161,1
162,1
163,1
164,1
165,2
166,1
167,0
168,1
169,7
170,1
171,6
172,1
173,1
174,1
175,1
176,1
177,7
178,1
179,2
180,0
181,5
182,0
183,1
184,1
185,1
186,0
187,7
188,0
189,7
190,1
191,2
192,1
193,7
194,2
195,1
196,7
197,1
198,5
199,1
200,1
201,2
202,6
203,1
204,1
205,1
206,4
207,1
208,5
209,1
210,6
211,3
212,0
213,1
214,2
215,0
216,3
217,1
218,5
219,2
220,0
221,0
222,0
223,1
224,6
225,7
226,0
227,2
228,2
229,1
230,2
231,1
232,1
233,1
234,2
235,7
236,1
237,2
238,1
239,0
240,2
241,7
242,1
243,3
244,1
245,0
246,1
247,2
248,5
249,1
250,5
251,5
252,5
253,7
254,6
255,4
256,0
257,5
258,0
259,1
260,1
261,7
262,4
263,5
264,3
265,4
266,1
267,1
268,7
269,0
270,7
271,1
272,2
273,1
274,3
275,0
276,5
277,7
278,1
279,0
280,1
281,6
282,5
283,1
284,7
285,7
286,1
287,1
288,3
289,1
290,1
291,7
292,1
293,7
294,1
295,0
296,0
297,7
298,1
299,2
300,7
301,0
302,7
303,0
304,1
305,1
306,1
307,2
308,1
309,2
310,3
311,1
312,1
313,0
314,0
315,7
316,1
317,1
318,0
319,7
320,0
321,5
322,5
323,0
324,6
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,7
333,1
334,1
335,6
336,7
337,0
338,5
339,1
340,1
341,1
342,1
343,5
344,1
345,0
346,1
347,1
348,2
349,2
350,6
351,0
352,7
353,1
354,1
355,5
356,1
357,2
358,3
359,2
360,1
361,1
362,1
363,1
364,1
365,1
366,7
367,1
368,0
369,1
370,6
371,1
372,2
373,0
374,7
375,1
376,1
377,1
378,0
379,1
380,2
381,1
382,1
383,6
384,1
385,1
386,3
387,1
388,1
389,1
390,7
391,5
392,1
393,1
394,1
395,5
396,4
397,3
398,5
399,1
400,1
401,7
402,1
403,1
404,1
405,1
406,1
407,0
408,1
409,1
410,5
411,2
412,1
413,6
414,1
415,1
416,5
417,5
418,1
419,5
420,5
421,7
422,1
423,6
424,1
425,1
426,1
427,1
428,2
429,5
430,1
431,7
432,1
433,1
434,0
435,1
436,1
437,7
438,1
439,1
440,4
441,3
442,1
443,1
444,5
445,1
446,5
447,1
448,1
449,7
450,1
451,1
452,3
453,1
454,0
455,2
456,1
457,2
458,2
459,5
460,1
461,0
462,1
463,1
464,2
465,1
466,0
467,5
468,7
469,6
470,3
471,0
472,1
473,7
474,1
475,2
476,2
477,1
478,6
479,6
480,3
481,3
482,1
483,1
484,0
485,2
486,7
487,3
488,1
489,3
490,5
491,1
492,5
493,1
494,7
495,1
496,7
497,7
498,0
499,7
500,1
501,6
502,5
503,0
504,1
505,5
506,5
507,1
508,4
509,6
510,1
511,5
512,4
513,1
514,1
515,6
516,5
517,1
518,1
519,6
520,1
521,6
522,5
523,5
524,1
525,4
526,2
527,5
528,1
529,1
530,5
531,1
532,7
533,0
534,1
535,5
536,0
537,7
538,1
539,1
540,1
541,7
542,2
543,1
544,1
545,7
546,1
547,2
548,2
549,0
550,0
551,1
552,5
553,1
554,3
555,3
556,1
557,1
558,1
559,1
560,7
561,5
562,7
563,1
564,1
565,2
566,1
567,2
568,1
569,1
570,0
571,1
572,2
573,4
574,1
575,1
576,7
577,1
578,7
579,1
580,2
581,1
582,3
583,3
584,1
585,1
586,1
587,0
588,0
589,1
590,2
591,7
592,3
593,5
594,5
595,1
596,2
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,4
608,5
609,1
610,1
611,6
612,7
613,2
614,1
615,7
616,5
617,7
618,1
619,7
620,3
621,1
622,7
623,1
624,6
625,1
626,6
627,7
628,4
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,1
640,2
641,5
642,1
643,1
644,6
645,2
646,0
647,6
648,7
649,2
650,7
651,2
652,1
653,0
654,2
655,2
656,7
657,1
658,4
659,5
660,5
661,1
662,0
663,1
664,5
665,1
666,7
667,1
668,3
669,1
670,1
671,1
672,1
673,1
674,3
675,1
676,1
677,0
678,7
679,1
680,1
681,1
682,1
683,7
684,2
685,1
686,4
687,0
688,1
689,5
690,2
691,1
692,0
693,1
694,5
695,6
696,1
697,2
698,0
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,2
708,0
709,6
710,7
711,1
712,7
713,6
714,2
715,7
716,2
717,1
718,1
719,5
720,5
721,0
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,2
730,0
731,7
732,1
733,1
734,5
735,7
736,1
737,1
738,1
739,2
740,6
741,1
742,2
743,5
744,6
745,7
746,3
747,0
748,7
749,7
750,1
751,6
752,1
753,1
754,6
755,1
756,1
757,3
758,0
759,7
760,5
761,7
762,1
763,1
764,0
765,1
766,1
767,7
768,2
769,7
770,7
771,6
772,5
773,1
774,1
775,7
776,1
777,1
778,1
779,5
780,2
781,6
782,6
783,1
784,6
785,1
786,2
787,7
788,7
789,7
790,2
791,2
792,1
793,0
794,2
795,0
796,7
797,7
798,4
799,1
800,1
801,1
802,5
803,1
804,1
805,7
806,5
807,7
808,6
809,1
810,5
811,1
812,2
813,1
814,4
815,2
816,7
817,5
818,1
819,7
820,7
821,1
822,1
823,1
824,6
825,0
826,0
827,6
828,0
829,1
830,1
831,1
832,6
833,0
834,1
835,7
836,0
837,1
838,1
839,1
840,5
841,5
842,1
843,1
844,1
845,1
846,1
847,1
848,7
849,3
850,2
851,1
852,1
853,1
854,6
855,1
856,1
857,1
858,0
859,1
860,5
861,1
862,6
863,1
864,1
865,1
866,0
867,2
868,6
869,1
870,1
871,2
872,1
873,5
874,2
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,4
883,1
884,0
885,0
886,1
887,5
888,2
889,0
890,7
891,1
892,5
893,5
894,1
895,7
896,1
897,5
898,0
899,6
900,1
901,1
902,4
903,1
904,1
905,0
906,1
907,1
908,3
909,1
910,2
911,7
912,1
913,1
914,1
915,1
916,2
917,1
918,1
919,1
920,1
921,5
922,1
923,7
924,1
925,2
926,7
927,2
928,1
929,1
930,1
931,7
932,1
933,1
934,5
935,1
936,2
937,3
938,1
939,7
940,3
941,1
942,1
943,3
944,3
945,1
946,0
947,6
948,0
949,1
950,1
951,1
952,1
953,1
954,7
955,1
956,6
957,2
958,7
959,1
960,0
961,7
962,1
963,1
964,1
965,1
966,1
967,7
968,1
969,2
970,2
971,1
972,1
973,5
974,1
975,3
976,2
977,1
978,3
979,0
980,1
981,1
982,2
983,5
984,6
985,3
986,1
987,6
988,1
989,2
990,5
991,1
992,1
993,1
994,5
995,0
996,6
997,1
998,1
999,1
1000,7
1001,6
1002,1
1003,1
1004,1
1005,3
1006,0
1007,5
1008,0
1009,6
1010,1
1011,5
1012,7
1013,0
1014,7
1015,5
1016,1
1017,1
1018,2
1019,5
1020,0
1021,0
1022,2
1023,5
1024,2
1025,0
1026,7
1027,7
1028,1
1029,5
1030,2
1031,1
1032,3
1033,1
1034,1
1035,1
1036,1
1037,5
1038,1
1039,1
1040,1
1041,7
1042,7
1043,1
1044,1
1045,1
1046,3
1047,5
1048,0
1049,7
1050,7
1051,1
1052,0
1053,1
1054,1
1055,1
1056,2
1057,1
1058,5
1059,1
1060,0
1061,1
1062,1
1063,0
1064,7
1065,2
1066,5
1067,7
1068,1
1069,1
1070,1
1071,1
1072,7
1073,5
1074,5
1075,1
1076,2
1077,1
1078,7
1079,0
1080,0
1081,1
1082,1
1083,7
1084,2
1085,1
1086,4
1087,1
1088,2
1089,6
1090,1
1091,0
1092,1
1093,1
1094,0
1095,3
1096,1
1097,4
1098,0
1099,6
1100,1
1101,2
1102,0
1103,1
1104,1
1105,5
1106,1
1107,1
1108,7
1109,1
1110,1
1111,2
1112,5
1113,0
1114,7
1115,1
1116,1
1117,1
1118,4
1119,1
1120,0
1121,1
1122,1
1123,1
1124,1
1125,7
1126,1
1127,1
1128,4
1129,1
1130,1
1131,1
1132,1
1133,2
1134,2
1135,1
1136,2
1137,1
1138,4
1139,6
1140,5
1141,1
1142,1
1143,5
1144,2
1145,2
1146,1
1147,1
1148,5
1149,1
1150,1
1151,0
1152,5
1153,1
1154,2
1155,1
1156,5
1157,2
1158,1
1159,1
1160,7
1161,1
1162,7
1163,5
1164,5
1165,0
1166,5
1167,5
1168,5
1169,0
1170,6
1171,0
1172,1
1173,0
1174,1
1175,0
1176,1
1177,7
1178,1
1179,0
1180,7
1181,0
1182,1
1183,1
1184,1
1185,0
1186,3
1187,1
1188,5
1189,1
1190,2
1191,1
1192,2
1193,1
1194,1
1195,7
1196,1
1197,5
1198,1
1199,1
1200,7
1201,2
1202,1
1203,1
1204,1
1205,1
1206,6
1207,7
1208,2
1209,1
1210,5
1211,1
1212,1
1213,5
1214,0
1215,0
1216,0
1217,6
1218,1
1219,1
1220,1
1221,1
1222,0
1223,1
1224,5
1225,1
1226,3
1227,1
1228,5
1229,5
1230,4
